name,name_en,slug,description,description_en,price,status,featured,images,supplier_id,category_id,manufacturer,origin,manufacturer_origin,material_type,application,applications,supplier_type,website,featured_image,product_function,category,thickness,color,warranty,stock,brand,classification
"Đá Granite ATC STONE","ATC STONE Granite",da-granite-atc-stone,"Đá Granite tự nhiên ATC STONE, độ cứng cao, chống trầy xước, chịu nhiệt tốt, phù hợp bàn bếp, sàn nhà","ATC STONE Natural Granite, high hardness, scratch resistant, heat resistant, suitable for kitchen countertops, flooring",1850000,1,1,images/products/27/da-granite-atc-stone.jpg,27,1,"ATC STONE","Việt Nam","Ấn Độ, Trung Quốc","Đá tự nhiên Granite","Bàn bếp, Sàn nhà","Bàn bếp, Sàn nhà, Ốp tường","Nhà phân phối",,images/products/27/da-granite-atc-stone.jpg,"Chống trầy xước","Vật liệu",20mm,"Đen, Xám, Trắng","12 tháng",200,"ATC STONE","Vật liệu"
"Đá Marble ATC STONE","ATC STONE Marble",da-marble-atc-stone,"Đá Marble tự nhiên ATC STONE, vân đá sang trọng, bề mặt bóng, phù hợp phòng khách, phòng tắm cao cấp","ATC STONE Natural Marble, elegant veining, polished surface, suitable for living rooms, luxury bathrooms",2500000,1,1,images/products/27/da-marble-atc-stone.jpg,27,1,"ATC STONE","Việt Nam","Ý, Thổ Nhĩ Kỳ","Đá tự nhiên Marble","Phòng khách, Phòng tắm","Phòng khách, Phòng tắm, Ốp tường","Nhà phân phối",,images/products/27/da-marble-atc-stone.jpg,"Sang trọng","Vật liệu",20mm,"Trắng, Be, Xám","12 tháng",150,"ATC STONE","Vật liệu"
"Đá thạch anh nhân tạo ATC STONE","ATC STONE Quartz",da-thach-anh-nhan-tao-atc-stone,"Đá thạch anh nhân tạo ATC STONE, 93% thạch anh tự nhiên, không thấm nước, kháng khuẩn, bền đẹp","ATC STONE Engineered Quartz, 93% natural quartz, waterproof, antibacterial, durable",3200000,1,1,images/products/27/da-thach-anh-nhan-tao-atc-stone.jpg,27,1,"ATC STONE","Việt Nam","Việt Nam","Đá nhân tạo Quartz","Bàn bếp, Bàn bar","Bàn bếp, Bàn bar, Bàn làm việc","Nhà sản xuất",,images/products/27/da-thach-anh-nhan-tao-atc-stone.jpg,"Không thấm nước","Vật liệu",20mm,"Đa dạng màu","24 tháng",300,"ATC STONE","Vật liệu"
"Đá Onyx ATC STONE","ATC STONE Onyx",da-onyx-atc-stone,"Đá Onyx tự nhiên ATC STONE, bán trong suốt, có thể chiếu sáng, tạo hiệu ứng đặc biệt, phù hợp trang trí cao cấp","ATC STONE Natural Onyx, semi-transparent, backlit capable, special effects, suitable for luxury decoration",4500000,1,1,,27,1,"ATC STONE","Việt Nam","Iran, Pakistan","Đá tự nhiên Onyx","Trang trí, Vách ngăn","Trang trí, Vách ngăn, Khách sạn","Nhà phân phối",,,"Chiếu sáng được","Vật liệu",20mm,"Vàng, Xanh, Trắng","12 tháng",50,"ATC STONE","Vật liệu"
"Đá Travertine ATC STONE","ATC STONE Travertine",da-travertine-atc-stone,"Đá Travertine tự nhiên ATC STONE, bề mặt lỗ tự nhiên, phong cách cổ điển, phù hợp sàn nhà, ốp tường","ATC STONE Natural Travertine, natural porous surface, classic style, suitable for flooring, wall cladding",1650000,1,0,images/products/27/da-travertine-atc-stone.jpg,27,1,"ATC STONE","Việt Nam","Thổ Nhĩ Kỳ, Ý","Đá tự nhiên Travertine","Sàn nhà, Ốp tường","Sàn nhà, Ốp tường, Ngoại thất","Nhà phân phối",,images/products/27/da-travertine-atc-stone.jpg,"Phong cách cổ điển","Vật liệu",20mm,"Be, Vàng, Xám","12 tháng",100,"ATC STONE","Vật liệu"
"Đá Slate ATC STONE","ATC STONE Slate",da-slate-atc-stone,"Đá Slate tự nhiên ATC STONE, bề mặt vân tự nhiên, chống trơn, phù hợp sân vườn, lối đi","ATC STONE Natural Slate, natural texture surface, anti-slip, suitable for gardens, walkways",950000,1,0,images/products/27/da-slate-atc-stone.jpg,27,1,"ATC STONE","Việt Nam","Trung Quốc, Ấn Độ","Đá tự nhiên Slate","Sân vườn, Lối đi","Sân vườn, Lối đi, Ngoại thất","Nhà phân phối",,images/products/27/da-slate-atc-stone.jpg,"Chống trơn","Vật liệu",15mm,"Đen, Xám, Xanh","12 tháng",250,"ATC STONE","Vật liệu"
"Đá Basalt ATC STONE","ATC STONE Basalt",da-basalt-atc-stone,"Đá Basalt tự nhiên ATC STONE, màu đen tự nhiên, độ bền cao, chịu mài mòn tốt, phù hợp sàn công nghiệp","ATC STONE Natural Basalt, natural black color, high durability, wear resistant, suitable for industrial flooring",850000,1,0,images/products/27/da-basalt-atc-stone.jpg,27,1,"ATC STONE","Việt Nam","Việt Nam","Đá tự nhiên Basalt","Sàn công nghiệp","Sàn công nghiệp, Lát đường, Ngoại thất","Nhà phân phối",,images/products/27/da-basalt-atc-stone.jpg,"Chịu mài mòn","Vật liệu",20mm,Đen,"12 tháng",500,"ATC STONE","Vật liệu"
"Đá ốp bếp ATC STONE","ATC STONE Kitchen Backsplash",da-op-bep-atc-stone,"Đá ốp bếp ATC STONE, chống dầu mỡ, dễ vệ sinh, chịu nhiệt, màu sắc đa dạng","ATC STONE Kitchen Backsplash, oil resistant, easy to clean, heat resistant, various colors",1200000,1,1,images/products/27/da-op-bep-atc-stone.jpg,27,1,"ATC STONE","Việt Nam","Việt Nam","Đá ốp bếp",Bếp,"Bếp, Nhà hàng","Nhà sản xuất",,images/products/27/da-op-bep-atc-stone.jpg,"Chống dầu mỡ","Vật liệu",10mm,"Đa dạng màu","12 tháng",400,"ATC STONE","Vật liệu"
"Đá lavabo ATC STONE","ATC STONE Lavabo Stone",da-lavabo-atc-stone,"Đá lavabo ATC STONE, chống thấm nước, kháng khuẩn, bề mặt bóng, thiết kế hiện đại","ATC STONE Lavabo Stone, waterproof, antibacterial, polished surface, modern design",3500000,1,1,images/products/27/da-lavabo-atc-stone.jpg,27,1,"ATC STONE","Việt Nam","Việt Nam","Đá lavabo","Phòng tắm","Phòng tắm, Khách sạn","Nhà sản xuất",,images/products/27/da-lavabo-atc-stone.jpg,"Chống thấm","Vật liệu",20mm,"Trắng, Đen, Xám","24 tháng",100,"ATC STONE","Vật liệu"
"Đá ốp cầu thang ATC STONE","ATC STONE Stair Cladding",da-op-cau-thang-atc-stone,"Đá ốp cầu thang ATC STONE, chống trơn, độ bền cao, an toàn, phù hợp cầu thang trong nhà và ngoài trời","ATC STONE Stair Cladding, anti-slip, high durability, safe, suitable for indoor and outdoor stairs",1450000,1,0,images/products/27/da-op-cau-thang-atc-stone.jpg,27,1,"ATC STONE","Việt Nam","Việt Nam, Ấn Độ","Đá ốp cầu thang","Cầu thang","Cầu thang, Nhà ở, Công trình","Nhà phân phối",,images/products/27/da-op-cau-thang-atc-stone.jpg,"Chống trơn","Vật liệu",20mm,"Xám, Đen, Be","12 tháng",200,"ATC STONE","Vật liệu"
"Đá mosaic ATC STONE","ATC STONE Mosaic Stone",da-mosaic-atc-stone,"Đá mosaic ATC STONE 300x300mm, mảnh ghép đa dạng, tạo họa tiết độc đáo, phù hợp trang trí tường, sàn","ATC STONE Mosaic Stone 300x300mm, various pieces, unique patterns, suitable for wall and floor decoration",850000,1,1,,27,1,"ATC STONE","Việt Nam","Việt Nam, Trung Quốc","Đá mosaic","Trang trí tường","Trang trí tường, Phòng tắm, Bể bơi","Nhà phân phối",,,"Họa tiết độc đáo","Vật liệu",10mm,"Đa dạng màu","12 tháng",300,"ATC STONE","Vật liệu"
"Đá ốp mặt tiền ATC STONE","ATC STONE Facade Cladding",da-op-mat-tien-atc-stone,"Đá ốp mặt tiền ATC STONE, chống thời tiết, màu sắc bền, tạo điểm nhấn kiến trúc, phù hợp biệt thự, tòa nhà","ATC STONE Facade Cladding, weather resistant, color stable, architectural highlight, suitable for villas, buildings",2200000,1,1,images/products/27/da-op-mat-tien-atc-stone.jpg,27,1,"ATC STONE","Việt Nam","Ấn Độ, Việt Nam","Đá ốp ngoại thất","Mặt tiền","Mặt tiền, Biệt thự, Tòa nhà","Nhà phân phối",,images/products/27/da-op-mat-tien-atc-stone.jpg,"Chống thời tiết","Vật liệu",30mm,"Xám, Đen, Be","24 tháng",150,"ATC STONE","Vật liệu"
