name,name_en,slug,description,description_en,price,status,featured,images,supplier_id,category_id,manufacturer,origin,manufacturer_origin,material_type,application,applications,supplier_type,website,featured_image,product_function,category,thickness,color,warranty,stock,brand,classification
"Gạch lát sân vườn Viglacera S411","Viglacera S411 Garden Tile",gach-lat-san-vuon-viglacera-s411,"Gạch lát sân vườn Viglacera S411 kích thước 40x40cm, bề mặt chống trơn, độ bền cao, phù hợp cho sân vườn, lối đi","Viglacera S411 Garden Tile 40x40cm, anti-slip surface, high durability, suitable for gardens and walkways",85000,1,0,,500,1,Viglacera,"Việt Nam","Việt Nam","Gạch men","Sân vườn, Lối đi","Sân vườn, Lối đi, Ngoài trời","Nhà sản xuất",https://viglacera.com.vn,,Chống trơn trượt,"Vật liệu",8mm,"Xám, Nâu","12 tháng",1000,Viglacera,"Vật liệu"
"Gạch lát sân vườn Viglacera S409","Viglacera S409 Garden Tile",gach-lat-san-vuon-viglacera-s409,"Gạch lát sân vườn Viglacera S409 kích thước 40x40cm, màu sắc tự nhiên, chống thấm nước tốt","Viglacera S409 Garden Tile 40x40cm, natural color, excellent water resistance",85000,1,0,,500,1,Viglacera,"Việt Nam","Việt Nam","Gạch men","Sân vườn, Lối đi","Sân vườn, Lối đi, Ngoài trời","Nhà sản xuất",https://viglacera.com.vn,,Chống thấm nước,"Vật liệu",8mm,"Đỏ gạch","12 tháng",1000,Viglacera,"Vật liệu"
"Gạch lát sân vườn Viglacera S402","Viglacera S402 Garden Tile",gach-lat-san-vuon-viglacera-s402,"Gạch lát sân vườn Viglacera S402 kích thước 40x40cm, vân đá tự nhiên, độ bền cao","Viglacera S402 Garden Tile 40x40cm, natural stone pattern, high durability",85000,1,0,,500,1,Viglacera,"Việt Nam","Việt Nam","Gạch men","Sân vườn","Sân vườn, Lối đi, Ngoài trời","Nhà sản xuất",https://viglacera.com.vn,,Chống trơn,"Vật liệu",8mm,"Xám đá","12 tháng",1000,Viglacera,"Vật liệu"
"Gạch lát nền Viglacera H505","Viglacera H505 Floor Tile",gach-lat-nen-viglacera-h505,"Gạch lát nền Viglacera H505 kích thước 50x50cm, bề mặt bóng, phù hợp cho phòng khách, phòng ngủ","Viglacera H505 Floor Tile 50x50cm, glossy surface, suitable for living room and bedroom",95000,1,1,,500,1,Viglacera,"Việt Nam","Việt Nam","Gạch men","Phòng khách, Phòng ngủ","Phòng khách, Phòng ngủ, Nội thất","Nhà sản xuất",https://viglacera.com.vn,,Chống trầy xước,"Vật liệu",9mm,"Trắng ngà","12 tháng",1500,Viglacera,"Vật liệu"
"Gạch lát nền Viglacera H503","Viglacera H503 Floor Tile",gach-lat-nen-viglacera-h503,"Gạch lát nền Viglacera H503 kích thước 50x50cm, vân gỗ tự nhiên, sang trọng","Viglacera H503 Floor Tile 50x50cm, natural wood pattern, elegant",95000,1,1,,500,1,Viglacera,"Việt Nam","Việt Nam","Gạch men","Phòng khách","Phòng khách, Phòng ngủ, Nội thất","Nhà sản xuất",https://viglacera.com.vn,,Vân gỗ tự nhiên,"Vật liệu",9mm,"Nâu gỗ","12 tháng",1500,Viglacera,"Vật liệu"
"Gạch lát nền Viglacera H502","Viglacera H502 Floor Tile",gach-lat-nen-viglacera-h502,"Gạch lát nền Viglacera H502 kích thước 50x50cm, màu be nhẹ nhàng, dễ phối hợp","Viglacera H502 Floor Tile 50x50cm, soft beige color, easy to match",95000,1,0,,500,1,Viglacera,"Việt Nam","Việt Nam","Gạch men","Phòng khách, Phòng ngủ","Phòng khách, Phòng ngủ, Nội thất","Nhà sản xuất",https://viglacera.com.vn,,Dễ vệ sinh,"Vật liệu",9mm,"Be","12 tháng",1500,Viglacera,"Vật liệu"
"Gạch lát nền Viglacera KM523","Viglacera KM523 Floor Tile",gach-lat-nen-viglacera-km523,"Gạch lát nền Viglacera KM523 kích thước 50x50cm, công nghệ kháng khuẩn Nano, an toàn sức khỏe","Viglacera KM523 Floor Tile 50x50cm, Nano antibacterial technology, health safe",105000,1,1,,500,1,Viglacera,"Việt Nam","Việt Nam","Gạch men kháng khuẩn","Phòng khách, Bệnh viện","Phòng khách, Phòng ngủ, Y tế","Nhà sản xuất",https://viglacera.com.vn,,Kháng khuẩn Nano,"Vật liệu",9mm,"Trắng","12 tháng",1200,Viglacera,"Vật liệu,Công nghệ"
"Gạch lát nền Viglacera KM517","Viglacera KM517 Floor Tile",gach-lat-nen-viglacera-km517,"Gạch lát nền Viglacera KM517 kích thước 50x50cm, công nghệ kháng khuẩn, vân đá marble","Viglacera KM517 Floor Tile 50x50cm, antibacterial technology, marble pattern",105000,1,1,,500,1,Viglacera,"Việt Nam","Việt Nam","Gạch men kháng khuẩn","Phòng khách","Phòng khách, Phòng ngủ, Nội thất","Nhà sản xuất",https://viglacera.com.vn,,Kháng khuẩn,"Vật liệu",9mm,"Xám marble","12 tháng",1200,Viglacera,"Vật liệu,Công nghệ"
"Gạch lát nền Viglacera TS2-615","Viglacera TS2-615 Floor Tile",gach-lat-nen-viglacera-ts2-615,"Gạch lát nền Viglacera TS2-615 kích thước 60x60cm, vân đá tự nhiên cao cấp, phù hợp công trình lớn","Viglacera TS2-615 Floor Tile 60x60cm, premium natural stone pattern, suitable for large projects",125000,1,1,,500,1,Viglacera,"Việt Nam","Việt Nam","Gạch men cao cấp","Khách sạn, Văn phòng","Khách sạn, Văn phòng, Thương mại","Nhà sản xuất",https://viglacera.com.vn,,Cao cấp,"Vật liệu",10mm,"Xám đá","24 tháng",2000,Viglacera,"Vật liệu"
"Gạch lát nền Viglacera UTS-608","Viglacera UTS-608 Floor Tile",gach-lat-nen-viglacera-uts-608,"Gạch lát nền Viglacera UTS-608 kích thước 60x60cm, công nghệ tự làm sạch, chống bám bẩn","Viglacera UTS-608 Floor Tile 60x60cm, self-cleaning technology, anti-stain",135000,1,1,,500,1,Viglacera,"Việt Nam","Việt Nam","Gạch men cao cấp","Phòng khách, Khách sạn","Phòng khách, Khách sạn, Thương mại","Nhà sản xuất",https://viglacera.com.vn,,Tự làm sạch,"Vật liệu",10mm,"Trắng sữa","24 tháng",1800,Viglacera,"Vật liệu,Công nghệ"
"Gạch lát nền Viglacera TS5-602","Viglacera TS5-602 Floor Tile",gach-lat-nen-viglacera-ts5-602,"Gạch lát nền Viglacera TS5-602 kích thước 60x60cm, vân gỗ hiện đại, độ bền vượt trội","Viglacera TS5-602 Floor Tile 60x60cm, modern wood pattern, superior durability",125000,1,0,,500,1,Viglacera,"Việt Nam","Việt Nam","Gạch men","Phòng khách, Phòng ngủ","Phòng khách, Phòng ngủ, Nội thất","Nhà sản xuất",https://viglacera.com.vn,,Vân gỗ,"Vật liệu",10mm,"Nâu gỗ","24 tháng",1800,Viglacera,"Vật liệu"
"Gạch lát nền Viglacera TS3-612","Viglacera TS3-612 Floor Tile",gach-lat-nen-viglacera-ts3-612,"Gạch lát nền Viglacera TS3-612 kích thước 60x60cm, màu sắc trung tính, dễ phối hợp","Viglacera TS3-612 Floor Tile 60x60cm, neutral color, easy to match",125000,1,0,,500,1,Viglacera,"Việt Nam","Việt Nam","Gạch men","Phòng khách","Phòng khách, Phòng ngủ, Nội thất","Nhà sản xuất",https://viglacera.com.vn,,Trung tính,"Vật liệu",10mm,"Xám nhạt","24 tháng",1800,Viglacera,"Vật liệu"
