name,name_en,slug,description,description_en,price,status,featured,images,supplier_id,category_id,manufacturer,origin,manufacturer_origin,material_type,application,applications,supplier_type,website,featured_image,product_function,category,thickness,color,warranty,stock,brand,classification
"Gạch vân gỗ AMY GRES","AMY GRES Wood-Look Tile",gach-van-go-amy-gres,"Gạch vân gỗ AMY GRES, vân tự nhiên, chống trầy xước, chống nước, phù hợp phòng khách, phòng ngủ","AMY GRES Wood-Look Tile, natural grain, scratch resistant, waterproof, suitable for living room, bedroom",450000,1,1,images/products/31/gach-van-go-amy-gres.jpg,31,1,"AMY GRUPO","Việt Nam","Việt Nam","Gạch ceramic","Phòng khách, Phòng ngủ","Phòng khách, Phòng ngủ, Nội thất","Nhà sản xuất",https://amy.vn,images/products/31/gach-van-go-amy-gres.jpg,"Vân gỗ tự nhiên","Vật liệu",15mm,"Nâu gỗ, Be","24 tháng",1000,"AMY GRES","Vật liệu"
"Gạch granite AMY GRES","AMY GRES Granite Tile",gach-granite-amy-gres,"Gạch granite AMY GRES 60x60cm, độ hút nước thấp, độ bền cao, bề mặt bóng, phù hợp sàn nhà","AMY GRES Granite Tile 60x60cm, low water absorption, high durability, glossy surface, suitable for flooring",380000,1,1,images/products/31/gach-granite-amy-gres.jpg,31,1,"AMY GRUPO","Việt Nam","Việt Nam","Gạch granite","Sàn nhà","Sàn nhà, Phòng khách, Nội thất","Nhà sản xuất",https://amy.vn,images/products/31/gach-granite-amy-gres.jpg,"Độ bền cao","Vật liệu",10mm,"Xám, Trắng, Đen","24 tháng",1500,"AMY GRES","Vật liệu"
"Tấm MDF phủ Melamine AMY","AMY Melamine MDF Board",tam-mdf-phu-melamine-amy,"Tấm MDF phủ Melamine AMY, chống ẩm, chống trầy, màu sắc đa dạng, phù hợp tủ bếp, nội thất","AMY Melamine MDF Board, moisture resistant, scratch resistant, various colors, suitable for kitchen cabinets, furniture",350000,1,1,images/products/31/tam-mdf-phu-melamine-amy.jpg,31,1,"AMY GRUPO","Việt Nam","Việt Nam","MDF phủ Melamine","Tủ bếp, Nội thất","Tủ bếp, Nội thất, Tủ quần áo","Nhà sản xuất",https://amy.vn,images/products/31/tam-mdf-phu-melamine-amy.jpg,"Chống ẩm","Vật liệu",18mm,"Đa dạng màu","12 tháng",2000,AMY,"Vật liệu"
"Tấm HDF AMY","AMY HDF Board",tam-hdf-amy,"Tấm HDF AMY, mật độ cao, bề mặt nhẵn, phù hợp làm sàn gỗ công nghiệp, nội thất","AMY HDF Board, high density, smooth surface, suitable for laminate flooring, furniture",280000,1,0,images/products/31/tam-hdf-amy.jpg,31,1,"AMY GRUPO","Việt Nam","Việt Nam",HDF,"Sàn gỗ, Nội thất","Sàn gỗ, Nội thất, Cửa","Nhà sản xuất",https://amy.vn,images/products/31/tam-hdf-amy.jpg,"Mật độ cao","Vật liệu",8mm,Nâu,"12 tháng",2500,AMY,"Vật liệu"
"Sàn gỗ công nghiệp AMY","AMY Laminate Flooring",san-go-cong-nghiep-amy,"Sàn gỗ công nghiệp AMY, lõi HDF, bề mặt chống trầy AC4, dễ lắp đặt, phù hợp nhà ở, văn phòng","AMY Laminate Flooring, HDF core, AC4 scratch resistant surface, easy installation, suitable for homes, offices",320000,1,1,images/products/31/san-go-cong-nghiep-amy.jpg,31,1,"AMY GRUPO","Việt Nam","Việt Nam","Sàn gỗ công nghiệp","Nhà ở, Văn phòng","Nhà ở, Văn phòng, Showroom","Nhà sản xuất",https://amy.vn,images/products/31/san-go-cong-nghiep-amy.jpg,"Dễ lắp đặt","Vật liệu",12mm,"Nâu gỗ, Xám","24 tháng",1800,AMY,"Vật liệu"
"Tấm Particle Board AMY","AMY Particle Board",tam-particle-board-amy,"Tấm Particle Board AMY, giá hợp lý, chắc chắn, phù hợp làm nội thất phổ thông, đóng gói","AMY Particle Board, reasonable price, sturdy, suitable for standard furniture, packaging",180000,1,0,images/products/31/tam-particle-board-amy.jpg,31,1,"AMY GRUPO","Việt Nam","Việt Nam","Particle Board","Nội thất","Nội thất, Đóng gói, Pallet","Nhà sản xuất",https://amy.vn,images/products/31/tam-particle-board-amy.jpg,"Giá hợp lý","Vật liệu",18mm,"Nâu nhạt","12 tháng",3000,AMY,"Vật liệu"
"Gạch ốp tường AMY GRES","AMY GRES Wall Tile",gach-op-tuong-amy-gres,"Gạch ốp tường AMY GRES 30x60cm, bề mặt bóng, màu sắc đa dạng, dễ vệ sinh, phù hợp phòng tắm, bếp","AMY GRES Wall Tile 30x60cm, glossy surface, various colors, easy to clean, suitable for bathrooms, kitchens",280000,1,0,images/products/31/gach-op-tuong-amy-gres.jpg,31,1,"AMY GRUPO","Việt Nam","Việt Nam","Gạch ceramic","Phòng tắm, Bếp","Phòng tắm, Bếp, Nội thất","Nhà sản xuất",https://amy.vn,images/products/31/gach-op-tuong-amy-gres.jpg,"Dễ vệ sinh","Vật liệu",8mm,"Trắng, Be, Xám","24 tháng",2000,"AMY GRES","Vật liệu"
"Tấm ván ép Plywood AMY","AMY Plywood",tam-van-ep-plywood-amy,"Tấm ván ép Plywood AMY, nhiều lớp, chịu lực tốt, chống cong vênh, phù hợp xây dựng, đóng thuyền","AMY Plywood, multi-layer, good load bearing, warp resistant, suitable for construction, boat building",420000,1,0,images/products/31/tam-van-ep-plywood-amy.jpg,31,1,"AMY GRUPO","Việt Nam","Việt Nam",Plywood,"Xây dựng, Đóng thuyền","Xây dựng, Đóng thuyền, Ván khuôn","Nhà sản xuất",https://amy.vn,images/products/31/tam-van-ep-plywood-amy.jpg,"Chịu lực tốt","Vật liệu",15mm,Nâu,"12 tháng",1500,AMY,"Vật liệu"
"Gạch lát sân vườn AMY GRES","AMY GRES Outdoor Tile",gach-lat-san-vuon-amy-gres,"Gạch lát sân vườn AMY GRES 40x40cm, chống trơn, chịu thời tiết, độ bền cao, phù hợp ngoài trời","AMY GRES Outdoor Tile 40x40cm, anti-slip, weather resistant, high durability, suitable for outdoors",320000,1,1,images/products/31/gach-lat-san-vuon-amy-gres.jpg,31,1,"AMY GRUPO","Việt Nam","Việt Nam","Gạch ceramic","Sân vườn, Lối đi","Sân vườn, Lối đi, Ngoài trời","Nhà sản xuất",https://amy.vn,images/products/31/gach-lat-san-vuon-amy-gres.jpg,"Chống trơn","Vật liệu",12mm,"Xám, Đỏ gạch","24 tháng",1200,"AMY GRES","Vật liệu"
"Tấm MDF chống ẩm AMY","AMY Moisture Resistant MDF",tam-mdf-chong-am-amy,"Tấm MDF chống ẩm AMY, lõi xanh, chịu nước tốt, phù hợp phòng tắm, bếp, môi trường ẩm","AMY Moisture Resistant MDF, green core, water resistant, suitable for bathrooms, kitchens, humid environments",420000,1,1,images/products/31/tam-mdf-chong-am-amy.jpg,31,1,"AMY GRUPO","Việt Nam","Việt Nam","MDF chống ẩm","Phòng tắm, Bếp","Phòng tắm, Bếp, Môi trường ẩm","Nhà sản xuất",https://amy.vn,images/products/31/tam-mdf-chong-am-amy.jpg,"Chống ẩm","Vật liệu",18mm,"Xanh lá","12 tháng",1000,AMY,"Vật liệu"
