name,name_en,slug,description,description_en,price,status,featured,images,supplier_id,category_id,manufacturer,origin,manufacturer_origin,material_type,application,applications,supplier_type,website,featured_image,product_function,category,thickness,color,warranty,stock,brand,classification
"Sàn nâng kỹ thuật ABTECH HPL","ABTECH HPL Access Floor",san-nang-ky-thuat-abtech-hpl,"Sàn nâng kỹ thuật ABTECH HPL 600x600mm, mặt HPL chống tĩnh điện, chịu tải 500kg/m2, phù hợp phòng server, data center","ABTECH HPL Access Floor 600x600mm, anti-static HPL surface, load capacity 500kg/m2, suitable for server rooms, data centers",850000,1,1,/images/products/25/san-nang-ky-thuat-abtech-hpl.jpg,25,1,ABTECH,"Việt Nam","Việt Nam","Sàn nâng HPL","Phòng server, Data center","Phòng server, Data center, Văn phòng","Nhà sản xuất",https://abtech.com.vn,/images/products/25/san-nang-ky-thuat-abtech-hpl.jpg,"Chống tĩnh điện","Vật liệu",35mm,"Xám, Đen","24 tháng",500,ABTECH,"Vật liệu"
"Sàn nâng kỹ thuật ABTECH Calcium Sulphate","ABTECH Calcium Sulphate Access Floor",san-nang-ky-thuat-abtech-calcium-sulphate,"Sàn nâng kỹ thuật ABTECH Calcium Sulphate 600x600mm, chịu tải cao 1000kg/m2, chống cháy, chống ẩm, phù hợp phòng máy chủ","ABTECH Calcium Sulphate Access Floor 600x600mm, high load capacity 1000kg/m2, fireproof, moisture resistant",1250000,1,1,/images/products/25/san-nang-ky-thuat-abtech-calcium-sulphate.jpg,25,1,ABTECH,"Việt Nam","Việt Nam","Sàn nâng Calcium","Phòng máy chủ","Phòng máy chủ, Trung tâm dữ liệu","Nhà sản xuất",https://abtech.com.vn,/images/products/25/san-nang-ky-thuat-abtech-calcium-sulphate.jpg,"Chịu tải cao","Vật liệu",38mm,Xám,"36 tháng",400,ABTECH,"Vật liệu"
"Sàn nâng kỹ thuật ABTECH OA Floor","ABTECH OA Floor Access Floor",san-nang-ky-thuat-abtech-oa-floor,"Sàn nâng kỹ thuật ABTECH OA Floor 500x500mm, nhẹ, dễ lắp đặt, chịu tải 300kg/m2, phù hợp văn phòng","ABTECH OA Floor 500x500mm, lightweight, easy installation, load capacity 300kg/m2, suitable for offices",550000,1,0,/images/products/25/san-nang-ky-thuat-abtech-oa-floor.jpg,25,1,ABTECH,"Việt Nam","Việt Nam","Sàn nâng OA","Văn phòng","Văn phòng, Phòng họp","Nhà sản xuất",https://abtech.com.vn,/images/products/25/san-nang-ky-thuat-abtech-oa-floor.jpg,"Nhẹ - dễ lắp","Vật liệu",30mm,"Xám, Be","24 tháng",600,ABTECH,"Vật liệu"
"Khe co giãn ABTECH Expansion Joint","ABTECH Expansion Joint",khe-co-gian-abtech-expansion-joint,"Khe co giãn ABTECH Expansion Joint, chịu nhiệt, chống thấm, độ co giãn cao, phù hợp sàn bê tông, sàn gạch","ABTECH Expansion Joint, heat resistant, waterproof, high elasticity, suitable for concrete floors, tile floors",450000,1,1,/images/products/25/khe-co-gian-abtech-expansion-joint.jpg,25,1,ABTECH,"Việt Nam","Việt Nam","Khe co giãn","Sàn bê tông, Sàn gạch","Sàn bê tông, Sàn gạch, Công trình lớn","Nhà sản xuất",https://abtech.com.vn,/images/products/25/khe-co-gian-abtech-expansion-joint.jpg,"Co giãn nhiệt","Vật liệu",,"Đen, Xám","12 tháng",300,ABTECH,"Vật liệu"
"Tay vịn inox ABTECH cho bệnh viện","ABTECH Stainless Steel Handrail",tay-vin-inox-abtech-cho-benh-vien,"Tay vịn inox ABTECH cho bệnh viện, chống trượt, kháng khuẩn, dễ vệ sinh, đạt chuẩn y tế","ABTECH Stainless Steel Handrail for hospitals, anti-slip, antibacterial, easy to clean, medical standard",650000,1,1,/images/products/25/tay-vin-inox-abtech-cho-benh-vien.jpg,25,1,ABTECH,"Việt Nam","Việt Nam","Tay vịn inox","Bệnh viện, Nhà dưỡng lão","Bệnh viện, Nhà dưỡng lão, Công trình y tế","Nhà sản xuất",https://abtech.com.vn,/images/products/25/tay-vin-inox-abtech-cho-benh-vien.jpg,"Kháng khuẩn","Thiết bị",,Inox,"24 tháng",200,ABTECH,"Thiết Bị"
"Sàn vinyl ABTECH Floor Finishing","ABTECH Vinyl Floor Finishing",san-vinyl-abtech-floor-finishing,"Sàn vinyl ABTECH, chống trầy xước, chống nước, dễ vệ sinh, màu sắc đa dạng, phù hợp văn phòng, bệnh viện","ABTECH Vinyl Floor, scratch resistant, waterproof, easy to clean, various colors, suitable for offices, hospitals",350000,1,0,/images/products/25/san-vinyl-abtech-floor-finishing.jpg,25,1,ABTECH,"Việt Nam","Việt Nam","Sàn vinyl","Văn phòng, Bệnh viện","Văn phòng, Bệnh viện, Trường học","Nhà phân phối",https://abtech.com.vn,/images/products/25/san-vinyl-abtech-floor-finishing.jpg,"Chống nước","Vật liệu",2mm,"Đa dạng màu","12 tháng",1000,ABTECH,"Vật liệu"
"Gối đỡ sàn nâng ABTECH Pedestal","ABTECH Floor Pedestal",goi-do-san-nang-abtech-pedestal,"Gối đỡ sàn nâng ABTECH Pedestal, điều chỉnh độ cao 100-600mm, chịu tải cao, chất liệu thép mạ kẽm","ABTECH Floor Pedestal, adjustable height 100-600mm, high load capacity, galvanized steel",85000,1,0,/images/products/25/goi-do-san-nang-abtech-pedestal.jpg,25,1,ABTECH,"Việt Nam","Việt Nam","Gối đỡ sàn","Sàn nâng","Sàn nâng, Phòng server","Nhà sản xuất",https://abtech.com.vn,/images/products/25/goi-do-san-nang-abtech-pedestal.jpg,"Điều chỉnh độ cao","Vật liệu",,"Mạ kẽm","24 tháng",2000,ABTECH,"Vật liệu"
"Tấm panel sàn nâng ABTECH 600x600","ABTECH Floor Panel 600x600",tam-panel-san-nang-abtech-600x600,"Tấm panel sàn nâng ABTECH 600x600mm, lõi thép, mặt HPL, chống tĩnh điện, chịu tải 500kg/m2","ABTECH Floor Panel 600x600mm, steel core, HPL surface, anti-static, load capacity 500kg/m2",750000,1,0,/images/products/25/tam-panel-san-nang-abtech-600x600.jpg,25,1,ABTECH,"Việt Nam","Việt Nam","Panel sàn nâng","Sàn nâng","Sàn nâng, Data center","Nhà sản xuất",https://abtech.com.vn,/images/products/25/tam-panel-san-nang-abtech-600x600.jpg,"Panel chống tĩnh","Vật liệu",35mm,Xám,"24 tháng",800,ABTECH,"Vật liệu"
"Hệ thống MEP ABTECH cho tòa nhà","ABTECH MEP System for Buildings",he-thong-mep-abtech-cho-toa-nha,"Hệ thống MEP ABTECH tích hợp điện, nước, điều hòa, báo cháy, giám sát tập trung, tiết kiệm năng lượng","ABTECH MEP System integrated electrical, water, HVAC, fire alarm, centralized monitoring, energy saving",150000000,1,1,/images/products/25/he-thong-mep-abtech-cho-toa-nha.jpg,25,1,ABTECH,"Việt Nam","Việt Nam","Hệ thống MEP","Tòa nhà, Khách sạn","Tòa nhà, Khách sạn, Trung tâm thương mại","Nhà tích hợp",https://abtech.com.vn,/images/products/25/he-thong-mep-abtech-cho-toa-nha.jpg,"Tích hợp MEP","Thiết bị",,N/A,"36 tháng",10,ABTECH,"Thiết Bị,Công nghệ"
"Hệ thống IoT ABTECH Smart Building","ABTECH IoT Smart Building System",he-thong-iot-abtech-smart-building,"Hệ thống IoT ABTECH cho tòa nhà thông minh, quản lý năng lượng, an ninh, điều khiển từ xa, báo cáo thời gian thực","ABTECH IoT Smart Building System, energy management, security, remote control, real-time reporting",200000000,1,1,/images/products/25/he-thong-iot-abtech-smart-building.jpg,25,1,ABTECH,"Việt Nam","Việt Nam","Hệ thống IoT","Tòa nhà thông minh","Tòa nhà thông minh, Văn phòng cao cấp","Nhà tích hợp",https://abtech.com.vn,/images/products/25/he-thong-iot-abtech-smart-building.jpg,"Quản lý thông minh","Thiết bị",,N/A,"36 tháng",5,ABTECH,"Thiết Bị,Công nghệ"
"Nẹp nhôm ABTECH cho sàn nâng","ABTECH Aluminum Trim for Access Floor",nep-nhom-abtech-cho-san-nang,"Nẹp nhôm ABTECH cho sàn nâng, hoàn thiện cạnh sàn, chống va đập, màu sắc đa dạng","ABTECH Aluminum Trim for Access Floor, edge finishing, impact resistant, various colors",120000,1,0,/images/products/25/nep-nhom-abtech-cho-san-nang.jpg,25,1,ABTECH,"Việt Nam","Việt Nam","Nẹp nhôm","Sàn nâng","Sàn nâng, Hoàn thiện","Nhà sản xuất",https://abtech.com.vn,/images/products/25/nep-nhom-abtech-cho-san-nang.jpg,"Hoàn thiện cạnh","Vật liệu",,"Bạc, Đen, Vàng đồng","12 tháng",1000,ABTECH,"Vật liệu"
"Gạch thảm ABTECH Carpet Tile","ABTECH Carpet Tile",gach-tham-abtech-carpet-tile,"Gạch thảm ABTECH 500x500mm, chống bám bẩn, cách âm, dễ thay thế, phù hợp văn phòng, khách sạn","ABTECH Carpet Tile 500x500mm, stain resistant, soundproof, easy replacement, suitable for offices, hotels",280000,1,0,/images/products/25/gach-tham-abtech-carpet-tile.jpg,25,1,ABTECH,"Việt Nam","Việt Nam","Gạch thảm","Văn phòng, Khách sạn","Văn phòng, Khách sạn, Phòng họp","Nhà phân phối",https://abtech.com.vn,/images/products/25/gach-tham-abtech-carpet-tile.jpg,"Cách âm","Vật liệu",6mm,"Đa dạng màu","12 tháng",1500,ABTECH,"Vật liệu"
