name,name_en,slug,description,description_en,price,status,featured,images,supplier_id,category_id,manufacturer,origin,manufacturer_origin,material_type,application,applications,supplier_type,website,featured_image,product_function,category,thickness,color,warranty,stock,brand,classification
"Khóa thông minh A2 Sweden Face ID","A2 Sweden Smart Lock Face ID",khoa-thong-minh-a2-sweden-face-id,"Khóa cửa thông minh A2 Sweden với công nghệ nhận diện khuôn mặt Face ID, bảo mật cao, kết nối WiFi, điều khiển từ xa qua app","A2 Sweden Smart Lock with Face ID recognition technology, high security, WiFi connection, remote control via app",12500000,1,1,images/products/24/khoa-thong-minh-a2-sweden-face-id.jpg,24,1,"A2 Sweden","Thụy Điển","Thụy Điển","Khóa thông minh","Cửa chính, Biệt thự","Cửa chính, Biệt thự, Căn hộ cao cấp","Nhà phân phối",https://a2home.com.vn,images/products/24/khoa-thong-minh-a2-sweden-face-id.jpg,"Nhận diện khuôn mặt","Thiết bị",,"Đen, Bạc","24 tháng",50,"A2 Sweden","Thiết Bị,Công nghệ"
"Khóa thông minh A2 Sweden nhận diện lòng bàn tay","A2 Sweden Palm Vein Recognition Lock",khoa-thong-minh-a2-sweden-nhan-dien-long-ban-tay,"Khóa cửa thông minh A2 Sweden với công nghệ nhận diện tĩnh mạch lòng bàn tay, bảo mật tuyệt đối, không thể sao chép","A2 Sweden Smart Lock with palm vein recognition technology, absolute security, cannot be duplicated",15000000,1,1,images/products/24/khoa-thong-minh-a2-sweden-nhan-dien-long-ban-tay.jpg,24,1,"A2 Sweden","Thụy Điển","Thụy Điển","Khóa thông minh","Cửa chính, Biệt thự","Cửa chính, Biệt thự, Văn phòng cao cấp","Nhà phân phối",https://a2home.com.vn,images/products/24/khoa-thong-minh-a2-sweden-nhan-dien-long-ban-tay.jpg,"Nhận diện tĩnh mạch","Thiết bị",,"Đen, Bạc","24 tháng",30,"A2 Sweden","Thiết Bị,Công nghệ"
"Khóa thông minh A2 Sweden vân tay","A2 Sweden Fingerprint Smart Lock",khoa-thong-minh-a2-sweden-van-tay,"Khóa cửa thông minh A2 Sweden với cảm biến vân tay, mã số, thẻ từ, chìa khóa cơ, kết nối WiFi","A2 Sweden Smart Lock with fingerprint sensor, PIN code, card, mechanical key, WiFi connection",8500000,1,1,images/products/24/khoa-thong-minh-a2-sweden-van-tay.jpg,24,1,"A2 Sweden","Thụy Điển","Thụy Điển","Khóa thông minh","Cửa chính, Căn hộ","Cửa chính, Căn hộ, Nhà ở","Nhà phân phối",https://a2home.com.vn,images/products/24/khoa-thong-minh-a2-sweden-van-tay.jpg,"Vân tay + Mã số","Thiết bị",,"Đen, Bạc, Vàng đồng","24 tháng",100,"A2 Sweden","Thiết Bị,Công nghệ"
"Khóa thông minh A2 Sweden thẻ từ NFC","A2 Sweden NFC Card Lock",khoa-thong-minh-a2-sweden-the-tu-nfc,"Khóa cửa thông minh A2 Sweden với thẻ từ NFC, mã số, chìa khóa cơ, phù hợp khách sạn, văn phòng","A2 Sweden Smart Lock with NFC card, PIN code, mechanical key, suitable for hotels and offices",6500000,1,0,,24,1,"A2 Sweden","Thụy Điển","Thụy Điển","Khóa thông minh","Khách sạn, Văn phòng","Khách sạn, Văn phòng, Căn hộ","Nhà phân phối",https://a2home.com.vn,,"Thẻ từ NFC","Thiết bị",,"Đen, Bạc","24 tháng",150,"A2 Sweden","Thiết Bị"
"Tay đẩy hơi A2 Sweden","A2 Sweden Door Closer",tay-day-hoi-a2-sweden,"Tay đẩy hơi A2 Sweden chất lượng cao, lực đóng điều chỉnh được, độ bền cao, phù hợp cửa gỗ và cửa kính","A2 Sweden Door Closer, high quality, adjustable closing force, high durability, suitable for wood and glass doors",1200000,1,0,images/products/24/tay-day-hoi-a2-sweden.jpg,24,1,"A2 Sweden","Thụy Điển","Thụy Điển","Phụ kiện cửa","Cửa chính, Cửa phòng","Cửa chính, Cửa phòng, Văn phòng","Nhà phân phối",https://a2home.com.vn,images/products/24/tay-day-hoi-a2-sweden.jpg,"Tự động đóng cửa","Thiết bị",,"Bạc, Đen","12 tháng",200,"A2 Sweden","Thiết Bị"
"Bộ khóa cửa tay gạt A2 Sweden","A2 Sweden Lever Handle Lock",bo-khoa-cua-tay-gat-a2-sweden,"Bộ khóa cửa tay gạt A2 Sweden, thiết kế sang trọng, chất liệu inox 304, chống gỉ sét, bền đẹp","A2 Sweden Lever Handle Lock, elegant design, stainless steel 304, rust resistant, durable",850000,1,0,images/products/24/bo-khoa-cua-tay-gat-a2-sweden.jpg,24,1,"A2 Sweden","Thụy Điển","Thụy Điển","Phụ kiện cửa","Cửa phòng","Cửa phòng, Nhà ở, Văn phòng","Nhà phân phối",https://a2home.com.vn,images/products/24/bo-khoa-cua-tay-gat-a2-sweden.jpg,"Khóa tay gạt","Thiết bị",,"Inox, Đen, Vàng đồng","12 tháng",300,"A2 Sweden","Thiết Bị"
"Thân khóa A2 Sweden","A2 Sweden Mortise Lock",than-khoa-a2-sweden,"Thân khóa A2 Sweden chất lượng cao, cơ chế khóa chính xác, độ bền cao, phù hợp nhiều loại cửa","A2 Sweden Mortise Lock, high quality, precise locking mechanism, high durability, suitable for various doors",650000,1,0,images/products/24/than-khoa-a2-sweden.jpg,24,1,"A2 Sweden","Thụy Điển","Thụy Điển","Phụ kiện cửa","Cửa gỗ","Cửa gỗ, Cửa thép, Cửa nhôm","Nhà phân phối",https://a2home.com.vn,images/products/24/than-khoa-a2-sweden.jpg,"Thân khóa cơ","Thiết bị",,Inox,"12 tháng",400,"A2 Sweden","Thiết Bị"
"Ruột khóa A2 Sweden","A2 Sweden Cylinder Lock",ruot-khoa-a2-sweden,"Ruột khóa A2 Sweden, cơ chế chống cắt, chống phá, bảo mật cao, chìa khóa không thể sao chép","A2 Sweden Cylinder Lock, anti-cut mechanism, anti-break, high security, keys cannot be duplicated",450000,1,0,images/products/24/ruot-khoa-a2-sweden.jpg,24,1,"A2 Sweden","Thụy Điển","Thụy Điển","Phụ kiện cửa","Cửa chính","Cửa chính, Cửa phòng","Nhà phân phối",https://a2home.com.vn,images/products/24/ruot-khoa-a2-sweden.jpg,"Chống phá","Thiết bị",,"Inox, Đồng","12 tháng",500,"A2 Sweden","Thiết Bị"
"Bản lề cửa A2 Sweden","A2 Sweden Door Hinge",ban-le-cua-a2-sweden,"Bản lề cửa A2 Sweden, chất liệu inox 304, chịu tải cao, hoạt động êm ái, không kêu","A2 Sweden Door Hinge, stainless steel 304, high load capacity, smooth operation, silent",280000,1,0,images/products/24/ban-le-cua-a2-sweden.jpg,24,1,"A2 Sweden","Thụy Điển","Thụy Điển","Phụ kiện cửa","Cửa gỗ, Cửa thép","Cửa gỗ, Cửa thép, Cửa nhôm","Nhà phân phối",https://a2home.com.vn,images/products/24/ban-le-cua-a2-sweden.jpg,"Bản lề chịu tải","Thiết bị",,Inox,"12 tháng",600,"A2 Sweden","Thiết Bị"
"Thanh thoát hiểm A2 Sweden","A2 Sweden Panic Bar",thanh-thoat-hiem-a2-sweden,"Thanh thoát hiểm A2 Sweden, đạt chuẩn PCCC, dễ sử dụng trong trường hợp khẩn cấp, độ bền cao","A2 Sweden Panic Bar, fire safety standard, easy to use in emergency, high durability",2500000,1,1,images/products/24/thanh-thoat-hiem-a2-sweden.jpg,24,1,"A2 Sweden","Thụy Điển","Thụy Điển","Phụ kiện cửa","Cửa thoát hiểm","Cửa thoát hiểm, Khách sạn, Trung tâm thương mại","Nhà phân phối",https://a2home.com.vn,images/products/24/thanh-thoat-hiem-a2-sweden.jpg,"Thoát hiểm khẩn cấp","Thiết bị",,Inox,"24 tháng",100,"A2 Sweden","Thiết Bị"
