name,name_en,slug,description,description_en,price,status,featured,images,supplier_id,category_id,manufacturer,origin,manufacturer_origin,material_type,application,applications,supplier_type,website,featured_image,product_function,category,thickness,color,warranty,stock,brand,classification
"Tôn lạnh Hoa Sen 0.30mm","Hoa Sen Cold Rolled Steel 0.30mm",ton-lanh-hoa-sen-030mm,"Tôn lạnh Hoa Sen độ dày 0.30mm, khổ 1.07m, trọng lượng 2.3kg/m, chống ăn mòn tốt, phù hợp lợp mái nhà dân dụng","Hoa Sen Cold Rolled Steel 0.30mm thickness, 1.07m width, 2.3kg/m weight, good corrosion resistance",67000,1,0,,1,1,"Tập đoàn Hoa Sen","Việt Nam","Việt Nam","Tôn thép mạ màu","Lợp mái, Nhà xưởng","Lợp mái, Nhà dân dụng, Nhà xưởng","Nhà sản xuất",https://hoasengroup.vn,,Chống ăn mòn,"Vật liệu",0.30mm,"Xanh, Đỏ, Trắng","36 tháng",5000,"Hoa Sen","Vật liệu"
"Tôn lạnh Hoa Sen 0.35mm","Hoa Sen Cold Rolled Steel 0.35mm",ton-lanh-hoa-sen-035mm,"Tôn lạnh Hoa Sen độ dày 0.35mm, khổ 1.07m, trọng lượng 2.7kg/m, độ bền cao hơn, phù hợp công trình lớn","Hoa Sen Cold Rolled Steel 0.35mm thickness, 1.07m width, 2.7kg/m weight, higher durability",75000,1,1,,1,1,"Tập đoàn Hoa Sen","Việt Nam","Việt Nam","Tôn thép mạ màu","Lợp mái, Nhà xưởng","Lợp mái, Nhà xưởng, Công trình lớn","Nhà sản xuất",https://hoasengroup.vn,,Độ bền cao,"Vật liệu",0.35mm,"Xanh, Đỏ, Trắng","36 tháng",5000,"Hoa Sen","Vật liệu"
"Tôn lạnh Hoa Sen 0.40mm","Hoa Sen Cold Rolled Steel 0.40mm",ton-lanh-hoa-sen-040mm,"Tôn lạnh Hoa Sen độ dày 0.40mm, khổ 1.07m, trọng lượng 3.4kg/m, chịu lực tốt, bền vững","Hoa Sen Cold Rolled Steel 0.40mm thickness, 1.07m width, 3.4kg/m weight, good load bearing",84000,1,1,,1,1,"Tập đoàn Hoa Sen","Việt Nam","Việt Nam","Tôn thép mạ màu","Lợp mái, Nhà xưởng","Lợp mái, Nhà xưởng, Công nghiệp","Nhà sản xuất",https://hoasengroup.vn,,Chịu lực tốt,"Vật liệu",0.40mm,"Xanh, Đỏ, Trắng, Xám","36 tháng",5000,"Hoa Sen","Vật liệu"
"Tôn lạnh Hoa Sen 0.45mm","Hoa Sen Cold Rolled Steel 0.45mm",ton-lanh-hoa-sen-045mm,"Tôn lạnh Hoa Sen độ dày 0.45mm, khổ 1.07m, trọng lượng 3.9kg/m, độ bền vượt trội, chống gió bão","Hoa Sen Cold Rolled Steel 0.45mm thickness, 1.07m width, 3.9kg/m weight, superior durability, storm resistant",96000,1,0,,1,1,"Tập đoàn Hoa Sen","Việt Nam","Việt Nam","Tôn thép mạ màu","Lợp mái, Nhà xưởng","Lợp mái, Nhà xưởng, Vùng bão","Nhà sản xuất",https://hoasengroup.vn,,Chống gió bão,"Vật liệu",0.45mm,"Xanh, Đỏ, Trắng","36 tháng",4000,"Hoa Sen","Vật liệu"
"Tôn lạnh Hoa Sen 0.50mm","Hoa Sen Cold Rolled Steel 0.50mm",ton-lanh-hoa-sen-050mm,"Tôn lạnh Hoa Sen độ dày 0.50mm, khổ 1.07m, trọng lượng 4.4kg/m, siêu bền, phù hợp công trình công nghiệp","Hoa Sen Cold Rolled Steel 0.50mm thickness, 1.07m width, 4.4kg/m weight, super durable, industrial grade",105000,1,1,,1,1,"Tập đoàn Hoa Sen","Việt Nam","Việt Nam","Tôn thép mạ màu","Nhà xưởng, Công nghiệp","Nhà xưởng, Công nghiệp, Kho bãi","Nhà sản xuất",https://hoasengroup.vn,,Siêu bền,"Vật liệu",0.50mm,"Xanh, Đỏ, Trắng, Xám","48 tháng",4000,"Hoa Sen","Vật liệu"
"Tôn cán sóng ngói Hoa Sen 0.30mm","Hoa Sen Corrugated Tile Steel 0.30mm",ton-can-song-ngoi-hoa-sen-030mm,"Tôn cán sóng ngói Hoa Sen độ dày 0.30mm, vân giả ngói đẹp, thẩm mỹ cao, phù hợp nhà ở","Hoa Sen Corrugated Tile Steel 0.30mm, beautiful tile pattern, high aesthetics",77000,1,1,,1,1,"Tập đoàn Hoa Sen","Việt Nam","Việt Nam","Tôn giả ngói","Lợp mái nhà ở","Lợp mái, Nhà dân dụng, Biệt thự","Nhà sản xuất",https://hoasengroup.vn,,Vân giả ngói,"Vật liệu",0.30mm,"Đỏ ngói, Nâu ngói","36 tháng",3000,"Hoa Sen","Vật liệu"
"Tôn cán sóng ngói Hoa Sen 0.35mm","Hoa Sen Corrugated Tile Steel 0.35mm",ton-can-song-ngoi-hoa-sen-035mm,"Tôn cán sóng ngói Hoa Sen độ dày 0.35mm, vân ngói tự nhiên, bền đẹp, chống nóng tốt","Hoa Sen Corrugated Tile Steel 0.35mm, natural tile pattern, durable and beautiful",85000,1,1,,1,1,"Tập đoàn Hoa Sen","Việt Nam","Việt Nam","Tôn giả ngói","Lợp mái nhà ở","Lợp mái, Nhà dân dụng, Biệt thự","Nhà sản xuất",https://hoasengroup.vn,,Chống nóng,"Vật liệu",0.35mm,"Đỏ ngói, Nâu ngói","36 tháng",3000,"Hoa Sen","Vật liệu"
"Tôn cán sóng ngói Hoa Sen 0.40mm","Hoa Sen Corrugated Tile Steel 0.40mm",ton-can-song-ngoi-hoa-sen-040mm,"Tôn cán sóng ngói Hoa Sen độ dày 0.40mm, độ bền cao, vân ngói sắc nét, sang trọng","Hoa Sen Corrugated Tile Steel 0.40mm, high durability, sharp tile pattern, elegant",94000,1,1,,1,1,"Tập đoàn Hoa Sen","Việt Nam","Việt Nam","Tôn giả ngói","Lợp mái nhà ở","Lợp mái, Nhà dân dụng, Biệt thự, Resort","Nhà sản xuất",https://hoasengroup.vn,,Sang trọng,"Vật liệu",0.40mm,"Đỏ ngói, Nâu ngói, Xám","36 tháng",2500,"Hoa Sen","Vật liệu"
"Tôn cán sóng ngói Hoa Sen 0.45mm","Hoa Sen Corrugated Tile Steel 0.45mm",ton-can-song-ngoi-hoa-sen-045mm,"Tôn cán sóng ngói Hoa Sen độ dày 0.45mm, chịu lực tốt, vân ngói đẹp, phù hợp biệt thự cao cấp","Hoa Sen Corrugated Tile Steel 0.45mm, good load bearing, beautiful tile pattern",106000,1,0,,1,1,"Tập đoàn Hoa Sen","Việt Nam","Việt Nam","Tôn giả ngói","Lợp mái biệt thự","Lợp mái, Biệt thự, Resort, Khách sạn","Nhà sản xuất",https://hoasengroup.vn,,Cao cấp,"Vật liệu",0.45mm,"Đỏ ngói, Nâu ngói","48 tháng",2500,"Hoa Sen","Vật liệu"
"Tôn cán sóng ngói Hoa Sen 0.50mm","Hoa Sen Corrugated Tile Steel 0.50mm",ton-can-song-ngoi-hoa-sen-050mm,"Tôn cán sóng ngói Hoa Sen độ dày 0.50mm, siêu bền, vân ngói sắc nét, chống thấm tuyệt đối","Hoa Sen Corrugated Tile Steel 0.50mm, super durable, sharp tile pattern, absolute waterproof",115000,1,1,,1,1,"Tập đoàn Hoa Sen","Việt Nam","Việt Nam","Tôn giả ngói","Lợp mái cao cấp","Lợp mái, Biệt thự, Resort, Công trình cao cấp","Nhà sản xuất",https://hoasengroup.vn,,Chống thấm,"Vật liệu",0.50mm,"Đỏ ngói, Nâu ngói, Xám","48 tháng",2000,"Hoa Sen","Vật liệu"
