name,name_en,slug,description,description_en,price,status,featured,images,supplier_id,category_id,manufacturer,origin,manufacturer_origin,material_type,application,applications,supplier_type,website,featured_image,product_function,category,thickness,color,warranty,stock,brand,classification
"Sơn Jotun Majestic True Beauty 5L","Jotun Majestic True Beauty 5L",son-jotun-majestic-true-beauty-5l,"Sơn nội thất cao cấp Jotun Majestic True Beauty 5 lít, công thức đặc biệt chống bám bẩn, dễ lau chùi, màu sắc bền đẹp","Premium interior paint Jotun Majestic True Beauty 5L, special anti-stain formula, easy to clean, long-lasting color",945000,1,1,,1,1,Jotun,"Na Uy","Na Uy","Sơn nội thất cao cấp","Phòng khách, Phòng ngủ","Phòng khách, Phòng ngủ, Nội thất","Nhà phân phối",https://www.jotun.com,,Chống bám bẩn,"Vật liệu",,"Trắng, Màu pastel","60 tháng",500,Jotun,"Vật liệu"
"Sơn Jotun Essence 18L","Jotun Essence 18L",son-jotun-essence-18l,"Sơn nội thất Jotun Essence 18 lít, công thức nhũ tương, độ che phủ tốt, thân thiện môi trường, giá hợp lý","Interior paint Jotun Essence 18L, emulsion formula, good coverage, eco-friendly, reasonable price",1250000,1,1,,1,1,Jotun,"Na Uy","Na Uy","Sơn nội thất","Phòng khách, Phòng ngủ","Phòng khách, Phòng ngủ, Văn phòng","Nhà phân phối",https://www.jotun.com,,Thân thiện môi trường,"Vật liệu",,"Trắng, Màu sáng","36 tháng",800,Jotun,"Vật liệu"
"Sơn Jotun Jotashield 18L","Jotun Jotashield 18L",son-jotun-jotashield-18l,"Sơn ngoại thất Jotun Jotashield 18 lít, chống thấm nước tuyệt đối, chống rêu mốc, bảo vệ tường lâu dài","Exterior paint Jotun Jotashield 18L, absolute waterproof, anti-mold, long-term wall protection",1850000,1,1,,1,1,Jotun,"Na Uy","Na Uy","Sơn ngoại thất cao cấp","Tường ngoài, Mặt tiền","Tường ngoài, Mặt tiền, Công trình","Nhà phân phối",https://www.jotun.com,,Chống thấm,"Vật liệu",,"Trắng, Màu đậm","84 tháng",600,Jotun,"Vật liệu"
"Sơn Jotun Gardex 1L","Jotun Gardex 1L",son-jotun-gardex-1l,"Sơn gỗ và kim loại Jotun Gardex 1 lít, bề mặt bóng, chống rỉ sét, màu sắc đa dạng, khô nhanh","Wood and metal paint Jotun Gardex 1L, glossy finish, anti-rust, various colors, fast drying",185000,1,0,,1,1,Jotun,"Na Uy","Na Uy","Sơn gỗ và kim loại","Đồ gỗ, Cửa sắt","Đồ gỗ, Cửa sắt, Kim loại","Nhà phân phối",https://www.jotun.com,,Chống rỉ sét,"Vật liệu",,"Đa dạng màu","24 tháng",1000,Jotun,"Vật liệu"
"Sơn Jotun Fenomastic 18L","Jotun Fenomastic 18L",son-jotun-fenomastic-18l,"Sơn nội thất Jotun Fenomastic 18 lít, công thức đặc biệt chống bám bẩn, dễ thi công, giá tốt","Interior paint Jotun Fenomastic 18L, special anti-stain formula, easy application, good price",1150000,1,0,,1,1,Jotun,"Na Uy","Na Uy","Sơn nội thất","Phòng khách","Phòng khách, Phòng ngủ, Nội thất","Nhà phân phối",https://www.jotun.com,,Dễ thi công,"Vật liệu",,"Trắng, Màu nhạt","36 tháng",700,Jotun,"Vật liệu"
"Bột trét Jotun Putty 40kg","Jotun Putty 40kg",bot-tret-jotun-putty-40kg,"Bột trét tường Jotun Putty 40kg, độ bám dính cao, bề mặt mịn màng, dễ chà nhám, nền tảng hoàn hảo cho sơn","Wall putty Jotun Putty 40kg, high adhesion, smooth surface, easy sanding, perfect base for paint",450000,1,1,,1,1,Jotun,"Na Uy","Việt Nam","Bột trét tường","Tường trong, Tường ngoài","Tường trong, Tường ngoài, Trần nhà","Nhà phân phối",https://www.jotun.com,,Bề mặt mịn,"Vật liệu",,"Trắng","12 tháng",1500,Jotun,"Vật liệu"
"Sơn Jotun Majestic Sheen 5L","Jotun Majestic Sheen 5L",son-jotun-majestic-sheen-5l,"Sơn nội thất cao cấp Jotun Majestic Sheen 5 lít, bề mặt bán bóng sang trọng, chống bám bẩn vượt trội","Premium interior paint Jotun Majestic Sheen 5L, elegant semi-gloss finish, superior anti-stain",985000,1,1,,1,1,Jotun,"Na Uy","Na Uy","Sơn nội thất cao cấp","Phòng khách, Phòng ngủ","Phòng khách, Phòng ngủ, Khách sạn","Nhà phân phối",https://www.jotun.com,,Bề mặt bán bóng,"Vật liệu",,"Đa dạng màu","60 tháng",400,Jotun,"Vật liệu"
"Sơn Jotun Essence Easy Clean 18L","Jotun Essence Easy Clean 18L",son-jotun-essence-easy-clean-18l,"Sơn nội thất Jotun Essence Easy Clean 18 lít, dễ lau chùi, chống bám bẩn, phù hợp gia đình có trẻ nhỏ","Interior paint Jotun Essence Easy Clean 18L, easy to clean, anti-stain, suitable for families with children",1350000,1,1,,1,1,Jotun,"Na Uy","Na Uy","Sơn nội thất","Phòng khách, Phòng trẻ em","Phòng khách, Phòng trẻ em, Nội thất","Nhà phân phối",https://www.jotun.com,,Dễ lau chùi,"Vật liệu",,"Trắng, Màu pastel","36 tháng",600,Jotun,"Vật liệu"
"Sơn Jotun Jotashield Antifade 18L","Jotun Jotashield Antifade 18L",son-jotun-jotashield-antifade-18l,"Sơn ngoại thất Jotun Jotashield Antifade 18 lít, chống phai màu, chống thấm, bảo vệ màu sắc lâu dài","Exterior paint Jotun Jotashield Antifade 18L, anti-fade, waterproof, long-lasting color protection",1950000,1,1,,1,1,Jotun,"Na Uy","Na Uy","Sơn ngoại thất cao cấp","Mặt tiền, Tường ngoài","Mặt tiền, Tường ngoài, Biệt thự","Nhà phân phối",https://www.jotun.com,,Chống phai màu,"Vật liệu",,"Đa dạng màu","84 tháng",500,Jotun,"Vật liệu"
"Sơn Jotun Gardex Primer 1L","Jotun Gardex Primer 1L",son-jotun-gardex-primer-1l,"Sơn lót Jotun Gardex Primer 1 lít cho gỗ và kim loại, chống rỉ sét, tăng độ bám dính cho lớp sơn phủ","Primer Jotun Gardex Primer 1L for wood and metal, anti-rust, improves topcoat adhesion",165000,1,0,,1,1,Jotun,"Na Uy","Na Uy","Sơn lót","Gỗ, Kim loại","Gỗ, Kim loại, Đồ nội thất","Nhà phân phối",https://www.jotun.com,,Chống rỉ,"Vật liệu",,"Xám, Trắng","24 tháng",800,Jotun,"Vật liệu"
