name,name_en,slug,description,description_en,price,status,featured,images,supplier_id,category_id,manufacturer,origin,manufacturer_origin,material_type,application,applications,supplier_type,website,featured_image,product_function,category,thickness,color,warranty,stock,brand,classification
"Kính cường lực AGC Temperlite","AGC Temperlite Tempered Glass",kinh-cuong-luc-agc-temperlite,"Kính cường lực AGC Temperlite, độ bền cao gấp 5 lần kính thường, an toàn khi vỡ, chịu nhiệt tốt","AGC Temperlite Tempered Glass, 5 times stronger than regular glass, safe when broken, heat resistant",850000,1,1,/images/products/30/kinh-cuong-luc-agc-temperlite.jpg,30,1,AGC,"Nhật Bản","Nhật Bản","Kính cường lực","Cửa, Vách ngăn","Cửa, Vách ngăn, Mặt dựng","Nhà sản xuất",https://agc-glassasia.com,/images/products/30/kinh-cuong-luc-agc-temperlite.jpg,"An toàn","Vật liệu",10mm,"Trong suốt","24 tháng",500,AGC,"Vật liệu"
"Kính Low-E AGC Sunergy","AGC Sunergy Low-E Glass",kinh-low-e-agc-sunergy,"Kính Low-E AGC Sunergy, tiết kiệm năng lượng, chống nóng, giảm tia UV, phù hợp tòa nhà văn phòng","AGC Sunergy Low-E Glass, energy saving, heat resistant, UV reduction, suitable for office buildings",1250000,1,1,/images/products/30/kinh-low-e-agc-sunergy.jpg,30,1,AGC,"Nhật Bản","Nhật Bản","Kính Low-E","Mặt dựng, Cửa sổ","Mặt dựng, Cửa sổ, Tòa nhà","Nhà sản xuất",https://agc-glassasia.com,/images/products/30/kinh-low-e-agc-sunergy.jpg,"Tiết kiệm năng lượng","Vật liệu",8mm,"Xanh nhạt, Xám","36 tháng",400,AGC,"Vật liệu,Công nghệ"
"Kính dán màng AGC Lacobel","AGC Lacobel Lacquered Glass",kinh-dan-mang-agc-lacobel,"Kính dán màng AGC Lacobel, màu sắc đa dạng, bề mặt bóng, dễ vệ sinh, phù hợp nội thất","AGC Lacobel Lacquered Glass, various colors, glossy surface, easy to clean, suitable for interior",950000,1,1,/images/products/30/kinh-dan-mang-agc-lacobel.jpg,30,1,AGC,"Nhật Bản","Nhật Bản","Kính dán màng","Nội thất, Tủ bếp","Nội thất, Tủ bếp, Vách ngăn","Nhà sản xuất",https://agc-glassasia.com,/images/products/30/kinh-dan-mang-agc-lacobel.jpg,"Màu sắc đa dạng","Vật liệu",6mm,"Đa dạng màu","24 tháng",600,AGC,"Vật liệu"
"Kính cách âm AGC Stratophone","AGC Stratophone Acoustic Glass",kinh-cach-am-agc-stratophone,"Kính cách âm AGC Stratophone, giảm tiếng ồn 35-40dB, lớp PVB đặc biệt, phù hợp phòng họp, khách sạn","AGC Stratophone Acoustic Glass, noise reduction 35-40dB, special PVB layer, suitable for meeting rooms, hotels",1850000,1,1,/images/products/30/kinh-cach-am-agc-stratophone.jpg,30,1,AGC,"Nhật Bản","Nhật Bản","Kính cách âm","Phòng họp, Khách sạn","Phòng họp, Khách sạn, Studio","Nhà sản xuất",https://agc-glassasia.com,/images/products/30/kinh-cach-am-agc-stratophone.jpg,"Cách âm","Vật liệu",12mm,"Trong suốt","36 tháng",200,AGC,"Vật liệu,Công nghệ"
"Kính an toàn AGC Stratobel","AGC Stratobel Safety Glass",kinh-an-toan-agc-stratobel,"Kính an toàn AGC Stratobel, lớp PVB chống vỡ, bảo vệ con người, chống đạn cấp độ thấp","AGC Stratobel Safety Glass, PVB anti-shatter layer, people protection, low-level bulletproof",1650000,1,1,/images/products/30/kinh-an-toan-agc-stratobel.jpg,30,1,AGC,"Nhật Bản","Nhật Bản","Kính an toàn","Ngân hàng, Cửa hàng","Ngân hàng, Cửa hàng, Tòa nhà","Nhà sản xuất",https://agc-glassasia.com,/images/products/30/kinh-an-toan-agc-stratobel.jpg,"Chống vỡ","Vật liệu",10mm,"Trong suốt","48 tháng",150,AGC,"Vật liệu"
"Kính chống cháy AGC Pyrobel","AGC Pyrobel Fire-Resistant Glass",kinh-chong-chay-agc-pyrobel,"Kính chống cháy AGC Pyrobel, chịu lửa 60-120 phút, đạt chuẩn PCCC, phù hợp cửa thoát hiểm","AGC Pyrobel Fire-Resistant Glass, fire resistance 60-120 minutes, fire safety standard, suitable for emergency exits",2850000,1,1,/images/products/30/kinh-chong-chay-agc-pyrobel.jpg,30,1,AGC,"Nhật Bản","Nhật Bản","Kính chống cháy","Cửa thoát hiểm","Cửa thoát hiểm, Tòa nhà, Khách sạn","Nhà sản xuất",https://agc-glassasia.com,/images/products/30/kinh-chong-chay-agc-pyrobel.jpg,"Chống cháy","Vật liệu",15mm,"Trong suốt","60 tháng",100,AGC,"Vật liệu"
"Kính phản quang AGC Stopsol","AGC Stopsol Reflective Glass",kinh-phan-quang-agc-stopsol,"Kính phản quang AGC Stopsol, phản chiếu ánh sáng, giảm nhiệt, bảo mật, phù hợp mặt dựng tòa nhà","AGC Stopsol Reflective Glass, light reflection, heat reduction, privacy, suitable for building facades",1450000,1,0,/images/products/30/kinh-phan-quang-agc-stopsol.jpg,30,1,AGC,"Nhật Bản","Nhật Bản","Kính phản quang","Mặt dựng","Mặt dựng, Tòa nhà, Văn phòng","Nhà sản xuất",https://agc-glassasia.com,/images/products/30/kinh-phan-quang-agc-stopsol.jpg,"Phản quang","Vật liệu",8mm,"Bạc, Xanh, Vàng","36 tháng",300,AGC,"Vật liệu"
"Kính hoa văn AGC Matelux","AGC Matelux Patterned Glass",kinh-hoa-van-agc-matelux,"Kính hoa văn AGC Matelux, họa tiết đa dạng, mờ đục, trang trí, phù hợp phòng tắm, vách ngăn","AGC Matelux Patterned Glass, various patterns, translucent, decorative, suitable for bathrooms, partitions",750000,1,0,/images/products/30/kinh-hoa-van-agc-matelux.jpg,30,1,AGC,"Nhật Bản","Nhật Bản","Kính hoa văn","Phòng tắm, Vách ngăn","Phòng tắm, Vách ngăn, Nội thất","Nhà sản xuất",https://agc-glassasia.com,/images/products/30/kinh-hoa-van-agc-matelux.jpg,"Trang trí","Vật liệu",6mm,"Trắng mờ","24 tháng",400,AGC,"Vật liệu"
"Kính thông minh AGC Smart Glass","AGC Smart Glass",kinh-thong-minh-agc-smart-glass,"Kính thông minh AGC Smart Glass, điều khiển độ trong suốt bằng điện, bảo mật, tiết kiệm năng lượng","AGC Smart Glass, electrically controlled transparency, privacy, energy saving",8500000,1,1,/images/products/30/kinh-thong-minh-agc-smart-glass.jpg,30,1,AGC,"Nhật Bản","Nhật Bản","Kính thông minh","Phòng họp, Văn phòng","Phòng họp, Văn phòng, Khách sạn","Nhà sản xuất",https://agc-glassasia.com,/images/products/30/kinh-thong-minh-agc-smart-glass.jpg,"Điều khiển điện","Vật liệu",12mm,"Trong suốt/Mờ","60 tháng",50,AGC,"Vật liệu,Công nghệ"
"Kính siêu trắng AGC Clearvision","AGC Clearvision Ultra Clear Glass",kinh-sieu-trang-agc-clearvision,"Kính siêu trắng AGC Clearvision, độ trong suốt cao, không màu xanh, phù hợp showroom, cửa hàng","AGC Clearvision Ultra Clear Glass, high transparency, no green tint, suitable for showrooms, stores",1150000,1,0,/images/products/30/kinh-sieu-trang-agc-clearvision.jpg,30,1,AGC,"Nhật Bản","Nhật Bản","Kính siêu trắng","Showroom, Cửa hàng","Showroom, Cửa hàng, Tủ trưng bày","Nhà sản xuất",https://agc-glassasia.com,/images/products/30/kinh-sieu-trang-agc-clearvision.jpg,"Siêu trong suốt","Vật liệu",10mm,"Siêu trắng","24 tháng",250,AGC,"Vật liệu"
