name,name_en,slug,description,description_en,price,status,featured,images,supplier_id,category_id,manufacturer,origin,manufacturer_origin,material_type,application,applications,supplier_type,website,featured_image,product_function,category,thickness,color,warranty,stock,brand,classification
"Sofa da Ý All Best Enterprise","All Best Italian Leather Sofa",sofa-da-y-all-best-enterprise,"Sofa da Ý cao cấp All Best Enterprise, da bò thật 100%, thiết kế hiện đại, khung gỗ sồi, êm ái sang trọng","All Best Italian Leather Sofa, 100% genuine leather, modern design, oak frame, comfortable and luxurious",85000000,1,1,images/products/29/sofa-da-y-all-best-enterprise.jpg,29,1,"All Best Enterprise",Ý,Ý,"Da bò thật, Gỗ sồi","Phòng khách, Biệt thự","Phòng khách, Biệt thự, Căn hộ cao cấp","Nhà phân phối",https://www.allbestenterprise.com,images/products/29/sofa-da-y-all-best-enterprise.jpg,"Sang trọng","Nội thất",,"Nâu, Đen, Trắng","60 tháng",20,"All Best","Nội Thất"
"Bàn ăn gỗ óc chó All Best","All Best Walnut Dining Table",ban-an-go-oc-cho-all-best,"Bàn ăn gỗ óc chó tự nhiên All Best, thiết kế Ý, chỗ ngồi 6-8 người, bề mặt hoàn thiện bóng","All Best Walnut Dining Table, natural walnut wood, Italian design, seats 6-8 people, glossy finish",45000000,1,1,images/products/29/ban-an-go-oc-cho-all-best.jpg,29,1,"All Best Enterprise",Ý,Ý,"Gỗ óc chó tự nhiên","Phòng ăn","Phòng ăn, Biệt thự, Nhà hàng","Nhà phân phối",https://www.allbestenterprise.com,images/products/29/ban-an-go-oc-cho-all-best.jpg,"Gỗ tự nhiên","Nội thất",,"Nâu óc chó","36 tháng",15,"All Best","Nội Thất"
"Giường ngủ bọc da All Best","All Best Upholstered Bed",giuong-ngu-boc-da-all-best,"Giường ngủ bọc da cao cấp All Best, đầu giường mềm, khung gỗ chắc chắn, kích thước 1.8m x 2m","All Best Upholstered Bed, soft headboard, solid wood frame, size 1.8m x 2m",55000000,1,1,images/products/29/giuong-ngu-boc-da-all-best.jpg,29,1,"All Best Enterprise",Ý,Ý,"Da bọc, Gỗ","Phòng ngủ","Phòng ngủ, Biệt thự, Khách sạn","Nhà phân phối",https://www.allbestenterprise.com,images/products/29/giuong-ngu-boc-da-all-best.jpg,"Êm ái","Nội thất",,"Xám, Be, Trắng","48 tháng",12,"All Best","Nội Thất"
"Tủ quần áo gỗ All Best","All Best Wooden Wardrobe",tu-quan-ao-go-all-best,"Tủ quần áo gỗ All Best, thiết kế Ý, 4 cánh mở, ngăn kéo, gương lớn, hoàn thiện cao cấp","All Best Wooden Wardrobe, Italian design, 4 doors, drawers, large mirror, premium finish",38000000,1,0,images/products/29/tu-quan-ao-go-all-best.jpg,29,1,"All Best Enterprise",Ý,Ý,"Gỗ tự nhiên","Phòng ngủ","Phòng ngủ, Biệt thự","Nhà phân phối",https://www.allbestenterprise.com,images/products/29/tu-quan-ao-go-all-best.jpg,"Lưu trữ","Nội thất",,"Nâu, Trắng","36 tháng",10,"All Best","Nội Thất"
"Ghế armchair da Ý All Best","All Best Italian Leather Armchair",ghe-armchair-da-y-all-best,"Ghế armchair da Ý All Best, thiết kế ergonomic, xoay 360 độ, chân inox, phù hợp phòng đọc sách","All Best Italian Leather Armchair, ergonomic design, 360° swivel, stainless steel base, perfect for reading room",28000000,1,1,images/products/29/ghe-armchair-da-y-all-best.jpg,29,1,"All Best Enterprise",Ý,Ý,"Da bò, Inox","Phòng đọc sách","Phòng đọc, Phòng khách, Văn phòng","Nhà phân phối",https://www.allbestenterprise.com,images/products/29/ghe-armchair-da-y-all-best.jpg,Ergonomic,"Nội thất",,"Đen, Nâu","36 tháng",25,"All Best","Nội Thất"
"Bàn làm việc gỗ All Best","All Best Wooden Desk",ban-lam-viec-go-all-best,"Bàn làm việc gỗ All Best, thiết kế tối giản Ý, ngăn kéo ẩn, bề mặt rộng, phù hợp home office","All Best Wooden Desk, Italian minimalist design, hidden drawers, spacious surface, suitable for home office",22000000,1,0,images/products/29/ban-lam-viec-go-all-best.jpg,29,1,"All Best Enterprise",Ý,Ý,"Gỗ óc chó","Văn phòng","Văn phòng, Home office","Nhà phân phối",https://www.allbestenterprise.com,images/products/29/ban-lam-viec-go-all-best.jpg,"Tối giản","Nội thất",,"Nâu, Đen","36 tháng",18,"All Best","Nội Thất"
"Kệ tivi gỗ All Best","All Best TV Console",ke-tivi-go-all-best,"Kệ tivi gỗ All Best, thiết kế hiện đại, ngăn kéo, kệ mở, chất liệu gỗ MDF phủ veneer óc chó","All Best TV Console, modern design, drawers, open shelves, MDF with walnut veneer",18000000,1,0,images/products/29/ke-tivi-go-all-best.jpg,29,1,"All Best Enterprise",Ý,Ý,"MDF phủ veneer","Phòng khách","Phòng khách, Phòng ngủ","Nhà phân phối",https://www.allbestenterprise.com,images/products/29/ke-tivi-go-all-best.jpg,"Lưu trữ","Nội thất",,"Nâu óc chó","24 tháng",20,"All Best","Nội Thất"
"Bàn cà phê đá marble All Best","All Best Marble Coffee Table",ban-ca-phe-da-marble-all-best,"Bàn cà phê mặt đá marble All Best, chân inox mạ vàng, thiết kế sang trọng, kích thước 120x60cm","All Best Marble Coffee Table, gold-plated stainless steel legs, luxurious design, size 120x60cm",32000000,1,1,images/products/29/ban-ca-phe-da-marble-all-best.jpg,29,1,"All Best Enterprise",Ý,Ý,"Đá marble, Inox","Phòng khách","Phòng khách, Biệt thự","Nhà phân phối",https://www.allbestenterprise.com,images/products/29/ban-ca-phe-da-marble-all-best.jpg,"Sang trọng","Nội thất",,"Trắng, Đen","36 tháng",15,"All Best","Nội Thất"
"Ghế ăn bọc vải All Best","All Best Upholstered Dining Chair",ghe-an-boc-vai-all-best,"Ghế ăn bọc vải All Best, chân gỗ sồi, đệm êm, thiết kế thanh lịch, bộ 6 ghế","All Best Upholstered Dining Chair, oak legs, soft cushion, elegant design, set of 6",24000000,1,0,images/products/29/ghe-an-boc-vai-all-best.jpg,29,1,"All Best Enterprise",Ý,Ý,"Vải bọc, Gỗ sồi","Phòng ăn","Phòng ăn, Nhà hàng","Nhà phân phối",https://www.allbestenterprise.com,images/products/29/ghe-an-boc-vai-all-best.jpg,"Thanh lịch","Nội thất",,"Xám, Be, Xanh","24 tháng",30,"All Best","Nội Thất"
"Tủ rượu gỗ All Best","All Best Wine Cabinet",tu-ruou-go-all-best,"Tủ rượu gỗ All Best, cửa kính, đèn LED, điều khiển nhiệt độ, chứa 50 chai, thiết kế Ý","All Best Wine Cabinet, glass door, LED light, temperature control, holds 50 bottles, Italian design",42000000,1,1,images/products/29/tu-ruou-go-all-best.jpg,29,1,"All Best Enterprise",Ý,Ý,"Gỗ, Kính","Phòng khách","Phòng khách, Biệt thự, Nhà hàng","Nhà phân phối",https://www.allbestenterprise.com,images/products/29/tu-ruou-go-all-best.jpg,"Bảo quản rượu","Nội thất",,"Nâu, Đen","36 tháng",8,"All Best","Nội Thất"
"Gương trang điểm All Best","All Best Vanity Mirror",guong-trang-diem-all-best,"Gương trang điểm All Best, đèn LED, khung gỗ, ngăn kéo lưu trữ, thiết kế cổ điển Ý","All Best Vanity Mirror, LED lights, wooden frame, storage drawers, Italian classic design",15000000,1,0,images/products/29/guong-trang-diem-all-best.jpg,29,1,"All Best Enterprise",Ý,Ý,"Gỗ, Kính","Phòng ngủ","Phòng ngủ, Phòng tắm","Nhà phân phối",https://www.allbestenterprise.com,images/products/29/guong-trang-diem-all-best.jpg,"Trang điểm","Nội thất",,"Trắng, Vàng đồng","24 tháng",15,"All Best","Nội Thất"
"Kệ sách gỗ All Best","All Best Bookshelf",ke-sach-go-all-best,"Kệ sách gỗ All Best, 5 tầng, thiết kế mở, chắc chắn, phù hợp phòng đọc sách, văn phòng","All Best Bookshelf, 5 tiers, open design, sturdy, suitable for reading room, office",16000000,1,0,images/products/29/ke-sach-go-all-best.jpg,29,1,"All Best Enterprise",Ý,Ý,"Gỗ óc chó","Phòng đọc sách","Phòng đọc, Văn phòng, Thư viện","Nhà phân phối",https://www.allbestenterprise.com,images/products/29/ke-sach-go-all-best.jpg,"Lưu trữ sách","Nội thất",,"Nâu óc chó","24 tháng",12,"All Best","Nội Thất"
